rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
612,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,51,0.5,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.28,,,5.3000,8.7000,13.0000,1.0000,3.2000,2.5000,7.0000,2.1270,0.0130,,,,,,,,,,,,,8.2000,,,,,,,169.0000,,,2.0150,0.0640,1.0000,0.0010,2.0830,0.0070,,,,,,,,1.8000,,,,,,,,,
613,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,52,4.0,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,53,10.5,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,1007B20,팔당댐3,경기도 양평군 양서면 신원리 월계사앞,한강물환경연구소,2019,01,11,0.5,127.00,22.00,3.00,37.00,31.00,35.00,2019.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1007B20,팔당댐3,경기도 양평군 양서면 신원리 월계사앞,한강물환경연구소,2019,01,13,4.0,127.00,22.00,3.00,37.00,31.00,35.00,2019.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,13,4.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,23,4.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,25,8.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,33,4.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,35,8.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,41,0.5,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,43,4.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,51,0.5,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,1015B40,팔당댐4,경기도 양평군 양서면 양수리 한강물환경연구소앞,한강물환경연구소,2019,01,55,8.0,127.00,18.00,39.00,37.00,32.00,28.00,2019.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,1016B10,팔당댐5,경기도 광주시 남종면 분원리,한강물환경연구소,2019,01,1회차,0.5,127.00,17.00,51.00,37.00,29.00,16.00,2019.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1016B10,팔당댐5,경기도 광주시 남종면 분원리,한강물환경연구소,2019,01,2회차,0.5,127.00,17.00,51.00,37.00,29.00,16.00,2019.01.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,1017A10,팔당댐,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,3회차,,127.00,17.00,0.00,37.00,31.00,17.00,2019.01.14,,,3.0000,8.8000,14.0000,0.9000,3.2000,1.9000,7.0000,2.0330,0.0140,,,,,,0.0000,,,,,,,7.0000,,,,,,,160.0000,,,1.9340,0.0600,1.0000,0.0000,2.0130,0.0080,,,,,,,,1.6000,,,,,,,,,
